English,Spanish,Example_Phrase
To be (permanent),Ser,Soy tu papá
To be (temporary),Estar,Estoy cansado
To have,Tener,Tengo hambre
To do/make,Hacer,Hago la comida
To go,Ir,Voy a la tienda
To come,Venir,Ven acá
To want,Querer,Quiero agua
To need,Necesitar,Necesito ayuda
To like,Gustar,Me gusta esto
To eat,Comer,Como manzanas
To drink,Beber/Tomar,Bebo agua
To sleep,Dormir,Duermo bien
To wake up,Despertarse,Me despierto temprano
To help,Ayudar,Te ayudo
To clean,Limpiar,Limpio la casa
To cook,Cocinar,Cocino pollo
To play,Jugar,Juego contigo
To study,Estudiar,Estudio español
To work,Trabajar,Trabajo en casa
To love,Amar,Te amo
