English,Mexican_Spanish,Usage_Notes
What's up?,¿Qué onda?,Very informal greeting
Really?,¿Neta?,Informal way to say really
Cool/Awesome,Qué padre/Está padrísimo,Family-friendly way to say cool
Dude/Guy,Güey,"Casual, use with friends only"
No way!,¡No manches!,Express surprise
Right now,Ahorita,Can mean now or later
How's it going?,¿Cómo te va?,More natural than ¿Cómo estás?
To chat/talk,Platicar,More common than hablar in Mexico
Kid/Child,Chamaco/Escuincle,Informal way to say kid
Wow!,¡Híjole!,Expression of surprise
